# Train        Test        
  891.685493   507.235596 
  883.761032   512.637573 
  891.004842   510.402679 
  875.864353   498.379272 
  866.504756   501.651611 
  863.946346   496.242157 
  845.403605   486.830841 
  836.387295   473.640594 
  834.254399   469.352142 
  828.815561   462.814056 
  810.599842   449.922333 
  801.526806   400.822174 
  773.588881   396.753662 
  750.668181   360.523163 
  750.428797   354.979736 
  748.173548   351.236328 
  729.678270   338.799316 
  715.864232   323.554077 
  695.229418   320.468262 
  678.948247   315.621796 
  656.873474   288.921448 
  670.433877   288.467468 
  702.619052   281.846466 
  688.909517   281.326080 
  657.086482   269.696472 
  659.275779   249.195908 
  663.573513   272.170746 
  617.364499   284.747040 
  612.920616   260.128540 
  666.498242   250.438934 
  659.044366   245.331970 
  617.154740   244.416595 
  638.381967   257.701477 
  618.605580   244.259720 
  579.074759   247.211700 
  633.971092   237.186356 
  611.610285   232.049728 
  582.965092   233.896225 
  612.708078   231.046326 
  611.889929   238.120499 
  592.037030   233.197556 
  616.539976   229.367035 
  604.170094   223.997787 
  588.855089   219.613373 
  592.795010   224.531952 
  576.102168   219.462997 
  591.812547   219.441193 
  587.339667   228.272537 
  561.927446   235.701904 
  536.767152   223.788467 
  573.986244   202.122635 
  526.097396   209.694366 
  553.744844   219.829987 
  534.733615   223.131195 
  549.668757   195.396500 
  555.237925   172.381485 
  526.546291   181.171799 
  565.697199   184.291733 
  528.084240   194.529724 
  580.177323   191.186859 
  465.797965   165.351746 
  504.079020   160.735855 
  435.854533   173.773651 
  484.656494   153.013138 
  608.144689   172.142838 
  480.970907   194.824905 
  469.892509   155.073227 
  476.314262   141.925278 
  515.230329   185.166504 
  452.167343   151.506500 
  456.239469   178.370392 
  398.345694   179.259186 
  514.682247   175.500183 
  410.235964   159.958252 
  501.721346   131.943726 
  503.100188   142.471176 
  418.665486   153.476807 
  363.863668   132.709351 
  362.169065   168.276276 
  460.961229   140.098709 
  437.271894   148.387039 
  383.660624   164.937439 
  345.722004   134.300583 
  442.159559   112.868065 
  361.747980   126.980698 
  393.044748   179.921661 
  419.758765   147.228912 
  369.227090   135.440994 
  374.083596   122.143417 
  386.462208    98.151833 
  310.538966   112.257240 
  316.486294   113.222992 
  367.392007   124.679893 
  343.768627   126.148926 
  435.307457   120.291832 
  412.441341   121.155373 
  360.276053   111.312004 
  297.762990    99.064682 
  253.108860    96.208382 
  330.593145   113.239662 
  401.196784    94.039604 
  293.521803    97.823120 
  400.699473    87.216484 
  284.092643    89.965187 
  350.127922   103.572083 
  340.429125   128.003128 
  273.763363   100.563622 
  285.667020    88.486099 
  328.548231    73.400505 
  337.558782   106.427780 
  311.532095    83.070091 
  262.816461    89.409233 
  224.641896    99.245140 
  248.585289    93.194382 
  344.847995    95.321243 
  316.548514    87.972961 
  391.570259    96.936417 
  272.283511    96.056824 
  367.641199    92.016479 
  231.715858   103.174622 
  221.553871    98.598907 
  255.086927    99.897583 
  347.064150   110.396141 
  280.246412    86.590263 
  302.682686    75.418755 
  320.329859    92.174210 
  304.325233    75.771950 
  206.113228    92.378014 
  233.270552    83.811455 
  255.846031   100.654442 
  245.814062    97.537979 
  471.725253    95.683739 
  272.550350    88.035194 
  270.965604    75.572021 
  261.011864    69.372765 
  238.259318    73.699402 
  204.757599    77.555862 
  276.839444    88.204552 
  315.211765    74.187950 
  289.872416    73.434166 
  259.891729    61.823536 
  346.004412    68.435501 
  232.428402    77.288971 
  307.349850    75.302231 
  220.875910    72.618431 
  224.462117    72.103966 
  216.648055    79.290413 
  220.321339    78.971344 
  276.657449    73.738861 
  283.813316    65.758438 
  226.598923    77.292152 
  224.378973    96.149895 
  215.606680    87.525635 
  260.435939    53.069054 
  413.947036    91.225121 
  262.680319    96.947235 
  193.877667    97.074440 
  234.898838    91.325211 
  248.984295   100.105598 
  232.954365   102.584167 
  230.334949    95.435272 
  243.701666    97.461243 
  231.170333   102.716805 
  275.620534    98.147812 
  265.715981    89.245773 
  217.724819    95.822182 
  225.953562    91.870949 
  285.788999    99.626724 
  215.796427    94.593369 
  207.007506    99.356918 
  183.957842    84.017014 
  162.207519   103.918465 
  232.265007   111.998474 
  292.339226    99.947693 
  291.520854    79.396049 
  258.540515   100.171989 
  277.756078    83.533195 
  186.507374    97.016251 
  265.546759    87.075226 
  195.771049   101.731361 
  197.710966    79.763054 
  246.499995    71.125084 
  283.330338    85.475189 
  306.291355    83.396629 
  291.660570    85.093216 
  183.840633    91.711357 
  219.366352   101.496895 
  198.577884    74.362617 
  194.634865    82.422989 
  159.169051    85.636742 
  214.734111    98.454964 
  217.238803   125.702011 
  210.972779   122.258453 
  165.270395    90.542160 
  223.691090   104.790314 
  231.223359    94.572830 
  225.802675    92.761627 
  254.322211    99.144989 
  178.660132   105.367805 
  184.849491   106.459908 
  206.084484    89.006935 
  281.470840    93.050903 
  183.944977    78.923851 
  221.408444   105.068848 
  157.067986    94.178795 
  209.904708    75.193268 
  214.059228    70.222694 
  169.307899    63.210762 
  293.167536    79.599625 
  215.580663    70.566513 
  235.359683    74.454987 
  218.830767    91.041862 
  227.714219   116.656799 
  240.415817    66.388222 
  181.556359   109.849556 
  202.148389   113.589371 
  217.389328   108.435173 
  166.143051   112.223969 
  245.669803   122.398361 
  204.749326    94.743484 
  167.734036   106.681671 
  220.287069    98.057632 
  179.403242   101.531281 
  164.959886    97.133690 
  230.080208    97.828278 
  206.522043    99.263435 
  192.724661    73.426620 
  200.644118    89.463425 
  174.738329   100.965294 
  207.076016   108.485138 
  165.061694    97.304726 
  157.937037    96.036873 
  192.767016   115.284569 
  242.160147   106.855843 
  151.535246    80.268929 
  175.309341   123.979019 
  192.913328   123.052536 
  178.542983   165.710190 
  166.122936    75.842888 
  179.022391   120.059525 
  262.614029    97.720482 
  218.489831   114.269302 
  174.144025   104.599602 
  208.699126    94.746338 
  150.735725    90.421448 
